Name,Beds,Price,Imputed Price
Potsdam,2,,1629.6877280594717
Potsdam,3,,1629.6877280594717
Potsdam,4,,1629.6877280594717
Potsdam,5,,1629.6877280594717
Potsdam,6,,1629.6877280594717
Regensburg,1,2400.0,2400.0
Regensburg,2,,1629.6877280594717
Regensburg,3,,1629.6877280594717
Regensburg,4,,1629.6877280594717
Regensburg,5,,1629.6877280594717
Regensburg,6,,1629.6877280594717
Remscheid,1,,1629.6877280594717
Remscheid,2,1878.6666666666667,1878.6666666666667
Remscheid,3,,1629.6877280594717
Remscheid,4,,1629.6877280594717
Remscheid,5,,1629.6877280594717
Remscheid,6,,1629.6877280594717
Reutlingen,1,1573.0,1573.0
Reutlingen,2,,1629.6877280594717
Reutlingen,3,,1629.6877280594717
Reutlingen,4,,1629.6877280594717
Reutlingen,5,,1629.6877280594717
Reutlingen,6,,1629.6877280594717
Salzgitter,1,1989.0,1989.0
Salzgitter,2,,1629.6877280594717
Salzgitter,3,,1629.6877280594717
Salzgitter,4,,1629.6877280594717
Salzgitter,5,,1629.6877280594717
Salzgitter,6,,1629.6877280594717
Siegburg,1,1637.0,1637.0
Siegburg,2,,1629.6877280594717
Siegburg,3,,1629.6877280594717
Siegburg,4,,1629.6877280594717
Siegburg,5,,1629.6877280594717
Siegburg,6,,1629.6877280594717
Solingen,1,2056.0,2056.0
Solingen,2,1659.0,1659.0
Solingen,3,,1629.6877280594717
Solingen,4,,1629.6877280594717
Solingen,5,,1629.6877280594717
Solingen,6,,1629.6877280594717
Stuttgart,1,1617.8,1617.8
Stuttgart,2,2070.0,2070.0
Stuttgart,3,738.0,738.0
Stuttgart,4,721.6666666666666,721.6666666666666
Stuttgart,5,,1629.6877280594717
Stuttgart,6,,1629.6877280594717
Trier,1,1102.0,1102.0
Trier,2,,1629.6877280594717
Trier,3,,1629.6877280594717
Trier,4,,1629.6877280594717
Trier,5,,1629.6877280594717
Trier,6,,1629.6877280594717
Ulm,1,2142.0,2142.0
Ulm,2,,1629.6877280594717
Ulm,3,,1629.6877280594717
Ulm,4,,1629.6877280594717
Ulm,5,,1629.6877280594717
Ulm,6,,1629.6877280594717
Unterhaching,1,1549.0,1549.0
Unterhaching,2,,1629.6877280594717
Unterhaching,3,,1629.6877280594717
Unterhaching,4,,1629.6877280594717
Unterhaching,5,,1629.6877280594717
Unterhaching,6,,1629.6877280594717
Wiesbaden,1,1727.375,1727.375
Wiesbaden,2,,1629.6877280594717
Wiesbaden,3,,1629.6877280594717
Wiesbaden,4,,1629.6877280594717
Wiesbaden,5,,1629.6877280594717
Wiesbaden,6,,1629.6877280594717
Wolfsburg,1,1622.2857142857142,1622.2857142857142
Wolfsburg,2,,1629.6877280594717
Wolfsburg,3,,1629.6877280594717
Wolfsburg,4,,1629.6877280594717
Wolfsburg,5,,1629.6877280594717
Wolfsburg,6,,1629.6877280594717
Wuppertal,1,1626.2,1626.2
Wuppertal,2,1807.6666666666667,1807.6666666666667
Wuppertal,3,,1629.6877280594717
Wuppertal,4,,1629.6877280594717
Wuppertal,5,,1629.6877280594717
Wuppertal,6,,1629.6877280594717
