geo_point_2d;objektkate;objektart;objektname;objektzusa;i_beschr;i_zusinfo;strasse;hausnummer;ort;link;ptl_anschl;p_email;ostwert;hochwert;stadtbeznr;stadtbezbe;statbeznr;statbezibe;ubznr;ubz;sozialrnr;sozialrbe;aktionsrnr;aktionsrbz;kommune
51.46860419193167, 7.500879989878668;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Hopmanns Mühlenweg;7;Dortmund;;;;395873.1399999613;5703003.269999879;5;Hörde;560;Wellinghofen;561;Wellinghofen;081;Benninghofen/Hacheney/Wellinghofen/Wichlinghofen;;;Dortmund
51.56596108771565, 7.534854566616375;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Hostedder Straße;55;Dortmund;;;;398449.619999966;5713782.129999895;2;Scharnhorst;220;Hostedde;222;Hostedde;051;Derne/Hostedde/Kirchderne/Grevel;;;Dortmund
51.509748833809304, 7.454452483265203;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Humboldstraße;61-63;Dortmund;;;;392745.1199999549;5707645.7599998545;10;Innenstadt-West;020;Dorstfelder Brücke;021;Westpark;013;Dorstfelder Brücke;013;Dorstfelder Brücke;Dortmund
51.55552702400739, 7.590200155950212;XE_SozialEinrichtung;Kindergarten;Consol-TEK;;;;Husener Eichwaldstraße;266a;Dortmund;;;;402263.11999997194;5712546.389999917;2;Scharnhorst;240;Kurl-Husen;244;Husen-Süd;052;Husen/Kurl/Lanstrop;;;Dortmund
51.57702514449547, 7.467062340176653;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Antonius;;;;Im Dorfe;23 a;Dortmund;;;;393776.92999995715;5715108.829999862;1;Eving;110;Brechten;111;Brechten-Nord;041;Brechten/Holthausen;;;Dortmund
51.529202480985646, 7.3869525028377545;XE_SozialEinrichtung;Kindergarten;Kath. Hl. Kreuz-Kiga;;;;Jungferntalstraße;47 a;Dortmund;;;;388108.8499999441;5709910.159999812;8;Huckarde;830;Jungferntal-Rahm;831;Jungferntal;112;Rahm/Kirchlinde;;;Dortmund
51.51469325918543, 7.490942819700318;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Melanchthon;;;;Karl-Lücking Straße;6;Dortmund;;;;395288.60999995994;5708142.759999874;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;;Dortmund
51.55927666909004, 7.385564439176683;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Nette;;;;Karl-Schurz-Straße;16;Dortmund;;;;388086.38499994366;5713256.659999812;9;Mengede;930;Nette;930;Nette;123;Nette;123;Nette;Dortmund
51.50552190390428, 7.321076611264984;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Käthe-Schaub-Weg;33;Dortmund;;;;383479.1499999311;5707379.609999761;7;Lütgendortmund;730;Lütgendortmund;732;Deipenbeck;101;Lütgendortmund;;;Dortmund
51.50088673754196, 7.338900661624123;XE_SozialEinrichtung;Kindergarten;Ev. Jona-Kindergarten an der Keplerstraße;;;;Keplerstraße;3;Dortmund;;;;384704.3999999347;5706835.939999777;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;;Dortmund
51.51970761790109, 7.448378435316471;XE_SozialEinrichtung;Kindergarten;EI Pfiffikus e.V.;;;;Kesselstraße;45;Dortmund;;;;392347.10999995394;5708762.139999851;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen;Dortmund
51.52188691812446, 7.467645799615272;XE_SozialEinrichtung;Kindergarten;DRK-Kita Sandkorn;;;;Kielstraße;25;Dortmund;;;;393688.89999995683;5708976.319999863;20;Innenstadt-Nord;050;Nordmarkt;051;Nordmarkt-Süd;022;Nordmarkt;022;Nordmarkt;Dortmund
51.513286347149, 7.461858662925343;XE_SozialEinrichtung;KinderbetreuungKurzzeit;Caritasverband Dortmund;KathTrägerkreis Kindertagespflege KTK;;;Propsteihof;10;Dortmund;http://www.caritasdortmund.de/web/index.php?id=340/;;;393267.32;5708028.32;10;Innenstadt-West;000;City;002;City-West;011;City;;;Dortmund
51.507715101607545, 7.415576257706245;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Kortental;39;Dortmund;;;;390042.51999994885;5707477.289999832;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld;Dortmund
51.51034684185518, 7.481187989353822;XE_SozialEinrichtung;Kindergarten;S.O.S. Kinderdorf TEK;;;;Kronprinzenstraße;89-93;Dortmund;;;;394601.7399999589;5707673.419999869;30;Innenstadt-Ost;070;Kaiserbrunnen;071;Kaiserbrunnen;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;;Dortmund
51.453638447702936, 7.420413257824096;XE_SozialEinrichtung;Kindergarten;EI Kleine Strolche e.V.;;;;Kruckeler Straße;209;Dortmund;;;;390248.43999994925;5701456.519999833;6;Hombruch;660;Persebeck-Kruckel-Schnee;662;Kruckel;092;Menglinghausen;;;Dortmund
51.50347402437584, 7.364804026344536;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Laurentius;;;;Lina-Schäfer-Straße;10;Dortmund;;;;386508.6499999397;5707083.169999797;7;Lütgendortmund;740;Marten;741;Germania;102;Marten;102;Marten;Dortmund
51.50103744737982, 7.359206052291204;XE_SozialEinrichtung;Kindergarten;Ev. Stephanus-Kiga;;;;Lina-Schäfer-Straße;42;Dortmund;;;;386114.0699999386;5706820.909999793;7;Lütgendortmund;740;Marten;741;Germania;102;Marten;102;Marten;Dortmund
51.528479585654345, 7.461789955098171;XE_SozialEinrichtung;Kindergarten;Stadtteilschule Kita Weltenbummler;;;;Lortzingstraße;49;Dortmund;;;;393298.0699999559;5709717.97999986;20;Innenstadt-Nord;050;Nordmarkt;053;Nordmarkt-West;022;Nordmarkt;022;Nordmarkt;Dortmund
51.500855894038125, 7.3325960302495385;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Magdalena;;;;Marienborn;14;Dortmund;;;;384266.7499999336;5706842.459999772;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;;Dortmund
51.57344937239302, 7.384362167127419;XE_SozialEinrichtung;Kindergarten;EI Kindernest Sterntaler e.V.;;;;Mengeder Straße;675;Dortmund;;;;388037.86999994394;5714834.569999811;9;Mengede;920;Mengede;923;Mengede-Mitte;122;Mengede/Oestrich/Schwieringhausen;;;Dortmund
51.472932086092385, 7.462431545131127;XE_SozialEinrichtung;Kindergarten;Waldorf-Kiga Brünninghausen;;;;Mergelteichstraße;43;Dortmund;;;;393212.80999995593;5703539.919999859;6;Hombruch;680;Rombergpark-Lücklemberg;681;Rombergpark;091;Barop/Brünninghausen/Hombruch;;;Dortmund
51.53988914508769, 7.618541006303486;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Meylantstraße;;;;Meylantstraße;79;Dortmund;;;;404194.9699999748;5710769.859999927;3;Brackel;340;Wickede;341;Wickeder Feld;064;Wickede;;Meylantviertel;Dortmund
51.52455724006828, 7.474041820161526;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Antonius;;;;Missundestraße;78;Dortmund;;;;394138.8099999578;5709263.999999865;20;Innenstadt-Nord;050;Nordmarkt;052;Nordmarkt-Südost;022;Nordmarkt;022;Nordmarkt;Dortmund
51.48275935512041, 7.488423204781325;XE_SozialEinrichtung;Kindergarten;AWO TEK Nortkirchenstraße;;;;Nortkirchenstraße;33;Dortmund;;;;395040.44999995973;5704595.169999874;5;Hörde;530;Hörde;533;Phönix-West;082;Hörde;082;Hörde;Dortmund
51.50203172684511, 7.418131918096548;XE_SozialEinrichtung;Kindergarten;EI Rasselbande e.V.;;;;Oberbank;6;Dortmund;;;;390206.20999994915;5706841.439999836;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld;Dortmund
51.5046377182126, 7.502775293455408;XE_SozialEinrichtung;Kindergarten;Ev. Kiga Gänseblümchen;;;;Obere Brinkstraße;4 a;Dortmund;;;;396086.72999996156;5707007.669999882;30;Innenstadt-Ost;080;Westfalendamm;082;Gartenstadt-Nord;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;;Dortmund
51.46085527349553, 7.468974814805224;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Olpketalstraße;85;Dortmund;;;;393639.1499999566;5702187.409999864;6;Hombruch;680;Rombergpark-Lücklemberg;682;Lücklemberg;093;Kirchhörde/Löttringhausen/Lücklemberg;;;Dortmund
51.527132487752155, 7.409246683648158;XE_SozialEinrichtung;Kindergarten;Lebenshilfe Kita Muku;;;;Oskarweg;50;Dortmund;;;;389650.21999994805;5709646.109999828;8;Huckarde;820;Huckarde;824;Huckarde;111;Deusen/Huckarde;;;Dortmund
51.47419990190304, 7.507411770447479;XE_SozialEinrichtung;Kindergarten;EI Freie Kindergr. DO-Süd e.V. Die Klabauterkinder;;;;Overgünne;119;Dortmund;;;;396339.4899999623;5703616.269999882;5;Hörde;510;Benninghofen;512;Loh;081;Benninghofen/Hacheney/Wellinghofen/Wichlinghofen;;;Dortmund
51.51556178231118, 7.5113379122462;XE_SozialEinrichtung;Kindergarten;Kath. Kiga St. Liborius;;;;Paderborner Straße;125;Dortmund;;;;396705.6899999627;5708210.359999885;30;Innenstadt-Ost;070;Kaiserbrunnen;073;Körne;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;;Dortmund
51.55297680410362, 7.4894003398639;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Preußische Straße;183;Dortmund;;;;395269.4899999602;5712402.299999874;1;Eving;120;Eving;123;Obereving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen;Dortmund
51.5494256522073, 7.457097772235336;XE_SozialEinrichtung;Kindergarten;FABIDO TEK;;;;Probstheidastraße;2;Dortmund;;;;393021.7299999554;5712054.139999855;1;Eving;120;Eving;121;Niedereving;042;Lindenhorst/Eving II;042;Lindenhorst/Eving II;Dortmund
51.52207612822686, 7.323495202613813;XE_SozialEinrichtung;Kindergarten;Ev. Kinder-Arche Bövinghausen;;;;Provinzialstraße;410 a;Dortmund;;;;383689.1699999318;5709216.639999764;7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich;Dortmund
51.513157476743835, 7.443698812694732;XE_SozialEinrichtung;Kindergarten;El Freie Kita Dortmund e. V.;;;;Rheinische Straße;89;Dortmund;;;;392006.9599999533;5708040.629999849;10;Innenstadt-West;020;Dorstfelder Brücke;022;Dorstfelder Brücke;013;Dorstfelder Brücke;013;Dorstfelder Brücke;Dortmund
